Date,Open,High,Low,Close,Adj Close,Volume
2019-02-28,46400.000000,46500.000000,45100.000000,45100.000000,39703.753906,23569321
2019-03-04,46000.000000,46100.000000,44800.000000,44850.000000,39483.675781,12926539
2019-03-05,44600.000000,45100.000000,44150.000000,44250.000000,38955.464844,10612405
2019-03-06,44000.000000,44300.000000,43700.000000,44000.000000,38735.378906,10202544
2019-03-07,43400.000000,44950.000000,43400.000000,44450.000000,39131.531250,11049749
2019-03-08,44450.000000,44800.000000,43800.000000,43800.000000,38559.300781,7729069
2019-03-11,44400.000000,44450.000000,43650.000000,43650.000000,38427.257813,10717408
2019-03-12,44300.000000,44950.000000,44150.000000,44650.000000,39307.601563,11431977
2019-03-13,44250.000000,44450.000000,43700.000000,43850.000000,38603.328125,8108343
2019-03-14,43700.000000,44300.000000,43550.000000,43850.000000,38603.328125,18039161
2019-03-15,43800.000000,44250.000000,43700.000000,44200.000000,38911.441406,16814163
2019-03-18,43950.000000,44150.000000,43450.000000,43700.000000,38471.269531,8188876
2019-03-19,43750.000000,43900.000000,43550.000000,43900.000000,38647.335938,7609563
2019-03-20,43800.000000,44200.000000,43100.000000,44050.000000,38779.394531,9846242
2019-03-21,44600.000000,46250.000000,44050.000000,45850.000000,40364.019531,21138016
2019-03-22,46850.000000,47000.000000,46250.000000,46550.000000,40980.257813,12535911
2019-03-25,45300.000000,45650.000000,44800.000000,45500.000000,40055.890625,8699728
2019-03-26,45500.000000,45700.000000,44900.000000,45250.000000,39835.808594,9729811
2019-03-27,44750.000000,45600.000000,44250.000000,45350.000000,39923.839844,9568081
2019-03-28,44950.000000,45200.000000,44300.000000,44850.000000,39794.304688,6821306
2019-03-29,44500.000000,44900.000000,44200.000000,44650.000000,39616.847656,11491713
2019-04-01,45200.000000,45450.000000,44850.000000,45050.000000,39971.753906,7362129
2019-04-02,45550.000000,46100.000000,45350.000000,45750.000000,40592.855469,9480688
2019-04-03,46750.000000,46750.000000,45800.000000,46600.000000,41347.035156,12436570
2019-04-04,46150.000000,47100.000000,46150.000000,46950.000000,41657.578125,12650168
2019-04-05,46950.000000,47550.000000,46600.000000,46850.000000,41568.843750,8546339
2019-04-08,47250.000000,47250.000000,46150.000000,46650.000000,41391.398438,8507909
2019-04-09,46700.000000,46950.000000,46200.000000,46650.000000,41391.398438,6878761
2019-04-10,46400.000000,46700.000000,46050.000000,46700.000000,41435.757813,11883995
2019-04-11,46700.000000,46800.000000,46150.000000,46250.000000,41036.480469,13697399
2019-04-12,46050.000000,46900.000000,46000.000000,46850.000000,41568.843750,7668936
2019-04-15,47150.000000,47500.000000,47000.000000,47050.000000,41746.312500,8733019
2019-04-16,47400.000000,47400.000000,46800.000000,47250.000000,41923.761719,7730881
2019-04-17,47300.000000,47600.000000,47000.000000,47050.000000,41746.312500,5513658
2019-04-18,47200.000000,47250.000000,45500.000000,45600.000000,40459.753906,12808747
2019-04-19,45750.000000,46000.000000,45250.000000,45300.000000,40193.570313,8479710
2019-04-22,45400.000000,45900.000000,45100.000000,45350.000000,40237.929688,6006957
2019-04-23,45050.000000,45500.000000,45000.000000,45200.000000,40104.847656,6920566
2019-04-24,45400.000000,45650.000000,44150.000000,44750.000000,39705.578125,13299267
2019-04-25,44250.000000,45000.000000,44100.000000,44650.000000,39616.847656,10868965
2019-04-26,44200.000000,45000.000000,43800.000000,44850.000000,39794.304688,9739982
2019-04-29,45150.000000,46150.000000,45100.000000,46150.000000,40947.757813,8777517
2019-04-30,46000.000000,46300.000000,45350.000000,45850.000000,40681.578125,11121273
2019-05-02,45500.000000,46150.000000,45400.000000,45900.000000,40725.945313,8625126
2019-05-03,45900.000000,46050.000000,45300.000000,45300.000000,40193.570313,6562916
2019-05-07,45250.000000,45300.000000,44400.000000,44850.000000,39794.304688,12014907
2019-05-08,44300.000000,44850.000000,44200.000000,44250.000000,39261.937500,10398754
2019-05-09,43900.000000,44250.000000,42450.000000,42450.000000,37664.843750,23029718
2019-05-10,42600.000000,43450.000000,42450.000000,42900.000000,38064.117188,14579512
2019-05-13,42500.000000,43200.000000,42350.000000,42650.000000,37842.296875,7635079
2019-05-14,41300.000000,43100.000000,41300.000000,42650.000000,37842.296875,11563730
2019-05-15,42700.000000,43050.000000,42550.000000,42550.000000,37753.566406,7670185
2019-05-16,42350.000000,42400.000000,41350.000000,41550.000000,36866.296875,13687828
2019-05-17,41950.000000,42050.000000,40850.000000,41200.000000,36555.750000,13357951
2019-05-20,41650.000000,42100.000000,41550.000000,42000.000000,37265.566406,15752397
2019-05-21,42600.000000,43950.000000,42350.000000,43150.000000,38285.929688,18812133
2019-05-22,43700.000000,43800.000000,42400.000000,43500.000000,38596.484375,11033339
2019-05-23,43900.000000,44000.000000,43250.000000,43850.000000,38907.027344,12259006
2019-05-24,43800.000000,43800.000000,42400.000000,42700.000000,37886.652344,13966305
2019-05-27,42500.000000,43000.000000,42350.000000,42650.000000,37842.296875,8066669
2019-05-28,42550.000000,42950.000000,42150.000000,42550.000000,37753.566406,24506881
2019-05-29,41850.000000,42100.000000,41300.000000,41800.000000,37088.109375,14930618
2019-05-30,42200.000000,42700.000000,42150.000000,42550.000000,37753.566406,11766018
2019-05-31,42600.000000,42800.000000,42150.000000,42500.000000,37709.203125,11365999
2019-06-03,42950.000000,43900.000000,42500.000000,43800.000000,38862.656250,15466580
2019-06-04,43400.000000,43700.000000,43000.000000,43450.000000,38552.117188,9913497
2019-06-05,44050.000000,44200.000000,43700.000000,43900.000000,38951.390625,12464135
2019-06-07,43600.000000,44350.000000,43450.000000,44200.000000,39217.570313,11683682
2019-06-10,44300.000000,44850.000000,44050.000000,44800.000000,39749.941406,8792182
2019-06-11,44800.000000,45000.000000,44550.000000,44850.000000,39794.304688,6664872
2019-06-12,44800.000000,45050.000000,44300.000000,44600.000000,39572.480469,8607439
2019-06-13,44200.000000,44400.000000,43400.000000,43750.000000,38818.304688,16906541
2019-06-14,43750.000000,44150.000000,43300.000000,44000.000000,39040.125000,9322873
2019-06-17,43750.000000,44050.000000,43400.000000,43900.000000,38951.390625,11890424
2019-06-18,43750.000000,44500.000000,43650.000000,44350.000000,39350.664063,7994928
2019-06-19,45450.000000,45450.000000,45000.000000,45350.000000,40237.929688,10417690
2019-06-20,44850.000000,45500.000000,44850.000000,45500.000000,40371.027344,7147785
2019-06-21,45750.000000,45800.000000,45200.000000,45700.000000,40548.480469,9454913
2019-06-24,45200.000000,45800.000000,45200.000000,45500.000000,40371.027344,6085066
2019-06-25,45200.000000,45800.000000,45200.000000,45600.000000,40459.753906,7076774
2019-06-26,45800.000000,46000.000000,45600.000000,45700.000000,40548.480469,9226097
2019-06-27,46000.000000,46600.000000,45750.000000,46500.000000,41580.398438,12603534
2019-06-28,47000.000000,47000.000000,46700.000000,47000.000000,42027.496094,12949231
2019-07-01,47350.000000,47400.000000,46250.000000,46600.000000,41669.816406,11383522
2019-07-02,46200.000000,46900.000000,45850.000000,46250.000000,41356.835938,8463073
2019-07-03,45750.000000,46350.000000,45200.000000,45400.000000,40596.773438,9669368
2019-07-04,45250.000000,46200.000000,45250.000000,46000.000000,41133.289063,6365573
2019-07-05,45950.000000,45950.000000,45250.000000,45650.000000,40820.312500,7235395
2019-07-08,44750.000000,44800.000000,44350.000000,44400.000000,39702.570313,7823843
2019-07-09,44850.000000,45450.000000,44700.000000,45100.000000,40328.507813,7646421
2019-07-10,45550.000000,46150.000000,45500.000000,45550.000000,40730.910156,9253930
2019-07-11,46350.000000,46550.000000,46150.000000,46200.000000,41312.136719,10989751
2019-07-12,46350.000000,46400.000000,45800.000000,46300.000000,41401.558594,5245804
2019-07-15,45950.000000,46650.000000,45750.000000,46450.000000,41535.679688,4717226
2019-07-16,46450.000000,46850.000000,46300.000000,46850.000000,41893.359375,7407824
2019-07-17,46150.000000,46350.000000,45950.000000,46050.000000,41177.996094,5216602
2019-07-18,46450.000000,46450.000000,45650.000000,46100.000000,41222.718750,5143554
2019-07-19,46650.000000,46950.000000,46600.000000,46800.000000,41848.648438,8819393
2019-07-22,46800.000000,47300.000000,46600.000000,47200.000000,42206.335938,9009109
2019-07-23,47350.000000,47550.000000,47050.000000,47300.000000,42295.753906,9061381
2019-07-24,47100.000000,47150.000000,46250.000000,46400.000000,41490.968750,8756522
2019-07-25,47150.000000,47200.000000,46600.000000,47200.000000,42206.335938,8408838
2019-07-26,46650.000000,47150.000000,46550.000000,47150.000000,42161.625000,7873886
2019-07-29,46800.000000,47050.000000,46000.000000,46100.000000,41222.718750,6856846
2019-07-30,46300.000000,46850.000000,46300.000000,46550.000000,41625.101563,5551014
2019-07-31,46200.000000,46600.000000,45000.000000,45350.000000,40552.058594,12872916
2019-08-01,44900.000000,45500.000000,44850.000000,45200.000000,40417.929688,7811181
2019-08-02,44550.000000,45500.000000,44300.000000,44950.000000,40194.378906,12151374
2019-08-05,44350.000000,44600.000000,43600.000000,43950.000000,39300.175781,14214086
2019-08-06,42500.000000,43800.000000,42500.000000,43500.000000,38897.789063,15083824
2019-08-07,43600.000000,43900.000000,43100.000000,43200.000000,38629.527344,10002533
2019-08-08,43250.000000,43500.000000,42650.000000,42650.000000,38137.718750,16926881
2019-08-09,43250.000000,43350.000000,43050.000000,43150.000000,38584.816406,9685147
2019-08-12,44000.000000,44000.000000,43550.000000,43700.000000,39076.636719,8466169
2019-08-13,43500.000000,43500.000000,42950.000000,43000.000000,38450.687500,7276979
2019-08-14,43900.000000,44250.000000,43500.000000,43700.000000,39076.636719,8750135
2019-08-16,43800.000000,43900.000000,43300.000000,43900.000000,39255.468750,9528115
2019-08-19,44350.000000,44350.000000,43500.000000,43600.000000,38987.207031,6014218
2019-08-20,43950.000000,44600.000000,43550.000000,44450.000000,39747.285156,8434205
2019-08-21,44350.000000,44800.000000,44150.000000,44500.000000,39791.992188,6571717
2019-08-22,44500.000000,44700.000000,43850.000000,44050.000000,39389.601563,8061177
2019-08-23,43800.000000,44200.000000,43650.000000,43950.000000,39300.175781,5017381
2019-08-26,43050.000000,43800.000000,42950.000000,43600.000000,38987.207031,7954949
2019-08-27,43650.000000,44200.000000,43600.000000,44050.000000,39389.601563,16883932
2019-08-28,44100.000000,44400.000000,43750.000000,44150.000000,39479.019531,5758333
2019-08-29,44200.000000,44200.000000,43050.000000,43400.000000,38808.378906,10768862
2019-08-30,43750.000000,44300.000000,43750.000000,44000.000000,39344.894531,9899073
2019-09-02,44850.000000,44850.000000,43650.000000,43800.000000,39166.042969,7185537
2019-09-03,43550.000000,43650.000000,43100.000000,43250.000000,38674.226563,9774941
2019-09-04,43250.000000,44100.000000,43150.000000,44100.000000,39434.320313,12441837
2019-09-05,44800.000000,46100.000000,44450.000000,45700.000000,40865.027344,18297430
2019-09-06,46500.000000,46500.000000,45850.000000,46300.000000,41401.558594,9896562
2019-09-09,46450.000000,47000.000000,46300.000000,46900.000000,41938.082031,9434157
2019-09-10,47100.000000,47200.000000,46550.000000,47000.000000,42027.496094,9231792
2019-09-11,47300.000000,47400.000000,46800.000000,47150.000000,42161.625000,16141619
2019-09-16,47000.000000,47100.000000,46400.000000,47100.000000,42116.914063,15550926
2019-09-17,47000.000000,47100.000000,46800.000000,46900.000000,41938.082031,7006280
2019-09-18,46900.000000,47700.000000,46800.000000,47700.000000,42653.433594,10413027
2019-09-19,48050.000000,49200.000000,47850.000000,49150.000000,43950.023438,16461413
2019-09-20,49400.000000,49600.000000,49100.000000,49200.000000,43994.742188,15460210
2019-09-23,49250.000000,49300.000000,49000.000000,49300.000000,44084.156250,7568553
2019-09-24,49050.000000,49650.000000,48850.000000,49500.000000,44262.996094,7871955
2019-09-25,49200.000000,49350.000000,48800.000000,48900.000000,43726.476563,9187141
2019-09-26,49000.000000,49250.000000,48900.000000,49200.000000,43994.742188,8494756
2019-09-27,48000.000000,48700.000000,48000.000000,48400.000000,43593.027344,8048041
2019-09-30,48050.000000,49250.000000,47900.000000,49050.000000,44178.476563,9497119
2019-10-01,48900.000000,49100.000000,48650.000000,48850.000000,43998.339844,6206035
2019-10-02,48350.000000,48400.000000,47600.000000,47600.000000,42872.488281,8382463
2019-10-04,47400.000000,48650.000000,47350.000000,48000.000000,43232.769531,9331695
2019-10-07,48350.000000,48700.000000,47650.000000,47750.000000,43007.597656,7047273
2019-10-08,47900.000000,49000.000000,47600.000000,48900.000000,44043.375000,14239367
2019-10-10,48200.000000,49200.000000,48000.000000,48550.000000,43728.136719,18639855
2019-10-11,49000.000000,49450.000000,48800.000000,49150.000000,44268.546875,7783275
2019-10-14,50000.000000,50300.000000,49850.000000,50000.000000,45034.128906,11130635
2019-10-15,49900.000000,50200.000000,49900.000000,50100.000000,45124.195313,6058105
2019-10-16,50700.000000,50900.000000,50400.000000,50700.000000,45664.597656,9136282
2019-10-17,50500.000000,50600.000000,50100.000000,50500.000000,45484.464844,6701380
2019-10-18,50300.000000,50900.000000,49650.000000,49900.000000,44944.066406,8483106
2019-10-21,49900.000000,50400.000000,49800.000000,50300.000000,45304.332031,4406531
2019-10-22,50800.000000,51500.000000,50700.000000,51200.000000,46114.945313,10898729
2019-10-23,51300.000000,51500.000000,50800.000000,51200.000000,46114.945313,8663880
2019-10-24,52500.000000,52500.000000,50500.000000,50700.000000,45664.597656,21185785
2019-10-25,50800.000000,51200.000000,50500.000000,50900.000000,45844.734375,7879897
2019-10-28,50700.000000,51500.000000,50700.000000,51300.000000,46205.007813,6431522
2019-10-29,51400.000000,51700.000000,50800.000000,51100.000000,46024.878906,7581629
2019-10-30,50700.000000,50800.000000,50200.000000,50400.000000,45394.394531,8959435
2019-10-31,51000.000000,51400.000000,50300.000000,50400.000000,45394.394531,10304777
2019-11-01,50600.000000,51200.000000,50400.000000,51200.000000,46114.945313,8467846
2019-11-04,51700.000000,52300.000000,51400.000000,52300.000000,47105.699219,13012411
2019-11-05,52400.000000,52700.000000,52100.000000,52700.000000,47465.976563,10581034
2019-11-06,52900.000000,53500.000000,52700.000000,53300.000000,48006.382813,14361133
2019-11-07,53400.000000,53400.000000,52400.000000,52900.000000,47646.097656,9257116
2019-11-08,53200.000000,53300.000000,52000.000000,52100.000000,46925.566406,11603290
2019-11-11,52200.000000,52200.000000,51400.000000,51600.000000,46475.222656,8185952
2019-11-12,51800.000000,52600.000000,51600.000000,52600.000000,47375.902344,6576148
2019-11-13,52500.000000,52500.000000,52000.000000,52500.000000,47285.835938,6225196
2019-11-14,51900.000000,52800.000000,51900.000000,52800.000000,47556.035156,12010018
2019-11-15,52900.000000,53700.000000,52600.000000,53700.000000,48366.640625,9703360
2019-11-18,53600.000000,53800.000000,53200.000000,53500.000000,48186.515625,7746554
2019-11-19,53200.000000,53500.000000,52700.000000,53500.000000,48186.515625,8907177
2019-11-20,53400.000000,53400.000000,52000.000000,52000.000000,46835.496094,12560070
2019-11-21,51600.000000,52100.000000,50600.000000,51000.000000,45934.812500,14298646
2019-11-22,51000.000000,51600.000000,50900.000000,51600.000000,46475.222656,8478310
2019-11-25,52200.000000,52600.000000,51700.000000,51800.000000,46655.355469,9050625
2019-11-26,51900.000000,52900.000000,51800.000000,51800.000000,46655.355469,27372226
2019-11-27,51800.000000,52300.000000,51600.000000,52200.000000,47015.625000,7546261
2019-11-28,51900.000000,52100.000000,51300.000000,51300.000000,46205.007813,6833885
2019-11-29,51200.000000,51400.000000,50200.000000,50300.000000,45304.332031,11179334
2019-12-02,50900.000000,51300.000000,50400.000000,50400.000000,45394.394531,18877252
2019-12-03,49800.000000,50300.000000,49500.000000,49900.000000,44944.066406,12059812
2019-12-04,49600.000000,49850.000000,49000.000000,49450.000000,44538.746094,13246549
